Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18774680,Bird's Eye View,Elinor Florence,"Florence, Elinor",,"=""1459721438""","=""9781459721432""",0,4.39,Dundurn,Paperback,384,2014,2014,,2025/07/28,to-read,to-read (#362),to-read,,,,0,0
34878639,Wildwood,Elinor Florence,"Florence, Elinor",,"=""1459740211""","=""9781459740211""",0,4.28,Dundurn,ebook,328,2018,2018,,2025/07/28,to-read,to-read (#361),to-read,,,,0,0
214151693,Finding Flora,Elinor Florence,"Florence, Elinor",,"=""166805891X""","=""9781668058916""",5,4.26,Simon & Schuster,Paperback,384,2025,2025,2025/07/25,2025/07/19,,,read,,,,1,0
53290204,Summer Sons,Lee Mandelo,"Mandelo, Lee",,"=""125079028X""","=""9781250790286""",0,3.79,Tordotcom,Hardcover,372,2021,2021,,2025/07/24,to-read,to-read (#360),to-read,,,,0,0
195945776,Ankle Snatcher,Grady Hendrix,"Hendrix, Grady",,"=""166251705X""","=""9781662517051""",3,3.70,Amazon Original Stories,Kindle Edition,29,2023,2023,2025/07/24,2025/07/06,,,read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",5,4.36,Ecco,Hardcover,368,2022,2022,2025/07/23,2025/07/06,,,read,,,,1,0
60433439,Mauled: Lessons Learned from a Grizzly Bear Attack,Jeremy Evans,"Evans, Jeremy",Jeremy Evans,"=""1771604832""","=""9781771604833""",3,4.13,Rocky Mountain Books,Paperback,192,2022,,2025/07/20,2025/07/19,,,read,,,,1,0
27276431,On Trails: An Exploration,Robert Moor,"Moor, Robert",,"=""1476739218""","=""9781476739212""",0,3.95,Simon & Schuster,Hardcover,352,2016,2016,,2025/07/19,to-read,to-read (#359),to-read,,,,0,0
199242671,Creature Feature Collection,Joe Hill,"Hill, Joe","Grady Hendrix, Josh Malerman, Paul Tremblay, Jason Mott, Chandler Baker, Robert Petkoff, Michael Crouch, Lauren Ezzo, A.T. Chandler, Dara Rosenberg, Cary Hite, Christina Traister","=""""","=""""",3,3.79,Amazon Original Stories,Audible Audio,262,2023,,2025/07/08,2025/07/08,,,read,,,,1,0
218695909,What Kind of Paradise,Janelle Brown,"Brown, Janelle",,"=""0593449789""","=""9780593449783""",0,4.14,Random House,Hardcover,368,2025,2025,,2025/07/08,to-read,to-read (#358),to-read,,,,0,0
